"","Strain","Cu_level","Bio_rep","Cellular_C","Cellular_N","Cells","Phosph","Sulfur","Copper","Iron","Zinc","Manganese","Cobalt","Cu_P","Fe_P","Zn_P","Mn_P","Co_P","Cellular_P","Cellular_S","Cellular_Cu","Cellular_Fe","Cellular_Zn","Cellular_Mn","Cellular_Co","Cu_C","Fe_C","Zn_C","Mn_C","Co_C","C_P","N_P","S_P","P_C","N_C","S_C"
"30","R.pomeroyi",2,"R1",1.74e-14,4.05e-15,1.3e+09,2.64e-07,1.93e-07,3.04e-08,1.21e-06,3.82e-07,2.71e-07,5.27e-09,0.115151515,4.583333333,1.446969697,1.026515152,0.019962121,2.03e-16,1.48e-16,2.34e-20,9.31e-19,2.94e-19,2.08e-19,4.05e-21,1.343943413,53.49248453,16.88770999,11.98054819,0.232979664,85.7142857142857,19.9507389162562,0.729064039408867,0.0116666666666667,0.232758620689655,0.00850574712643678
"31","R.pomeroyi",2,"R2",1.5e-14,3.7e-15,1.86e+09,1.17e-07,2.07e-07,1.79e-08,5.52e-07,7.64e-08,1.33e-07,3.39e-09,0.152991453,4.717948718,0.652991453,1.136752137,0.028974359,6.29e-17,1.11e-16,9.62e-21,2.97e-19,4.11e-20,7.15e-20,1.82e-21,0.641577061,19.78494624,2.738351254,4.76702509,0.121505376,238.473767885533,58.8235294117647,1.76470588235294,0.00419333333333333,0.246666666666667,0.0074
"32","R.pomeroyi",2,"R3",1.47e-14,3.49e-15,1.46e+09,2.54e-07,2.01e-07,2.42e-08,1.65e-06,4.83e-07,2.79e-07,5.76e-09,0.095275591,6.496062992,1.901574803,1.098425197,0.022677165,1.74e-16,1.38e-16,1.66e-20,1.13e-18,3.31e-19,1.91e-19,3.95e-21,1.127574317,76.8800671,22.50489237,12.99972044,0.268381325,84.4827586206897,20.0574712643678,0.793103448275862,0.0118367346938776,0.237414965986395,0.00938775510204082
"33","R.pomeroyi",2,"R4",1.42e-14,3.34e-15,1.49e+09,2.04e-07,2.12e-07,2.08e-08,9.55e-07,1.35e-07,2.08e-07,4.19e-09,0.101960784,4.681372549,0.661764706,1.019607843,0.020539216,1.37e-16,1.42e-16,1.4e-20,6.41e-19,9.06e-20,1.4e-19,2.81e-21,0.983079686,45.13659136,6.380565271,9.830796862,0.198033841,103.649635036496,24.3795620437956,1.03649635036496,0.00964788732394366,0.235211267605634,0.01
"34","R.pomeroyi",10,"R1",1.48e-14,3.57e-15,2.13e+09,4.2e-07,1.99e-07,6.77e-08,1.01e-06,2.71e-07,3.92e-07,1.75e-08,0.161190476,2.404761905,0.645238095,0.933333333,0.041666667,1.97e-16,9.34e-17,3.18e-20,4.74e-19,1.27e-19,1.84e-19,8.22e-21,2.147570105,32.03908133,8.596624794,12.43497018,0.555132597,75.1269035532995,18.1218274111675,0.474111675126904,0.0133108108108108,0.241216216216216,0.00631081081081081
"35","R.pomeroyi",10,"R2",2.37e-14,5.74e-15,2.63e+09,5.66e-07,3.76e-07,7.39e-08,1.18e-06,1.62e-07,5.02e-07,1.96e-08,0.130565371,2.084805654,0.286219081,0.886925795,0.034628975,2.15e-16,1.43e-16,2.81e-20,4.49e-19,6.16e-20,1.91e-19,7.45e-21,1.185605878,18.93118994,2.599027771,8.053777414,0.314450274,110.232558139535,26.6976744186047,0.665116279069767,0.00907172995780591,0.242194092827004,0.0060337552742616
"36","R.pomeroyi",10,"R3",1.6e-14,3.98e-15,2.09e+09,4.59e-07,2.8e-07,6.75e-08,9.7e-07,2.11e-07,4.02e-07,1.69e-08,0.147058824,2.11328976,0.459694989,0.875816993,0.036819172,2.2e-16,1.34e-16,3.23e-20,4.64e-19,1.01e-19,1.92e-19,8.09e-21,2.01854067,29.00717703,6.309808612,12.0215311,0.505382775,72.7272727272727,18.0909090909091,0.609090909090909,0.01375,0.24875,0.008375
"37","R.pomeroyi",50,"R1",1.46e-14,2.87e-15,1.16e+09,3.09e-07,2.59e-07,5.01e-08,7.28e-07,1.64e-07,2.63e-07,8.6e-09,0.162135922,2.355987055,0.530744337,0.851132686,0.027831715,2.66e-16,2.23e-16,4.32e-20,6.28e-19,1.41e-19,2.27e-19,7.41e-21,2.95819556,42.98535664,9.683514407,15.52905054,0.507794048,54.8872180451128,10.7894736842105,0.838345864661654,0.0182191780821918,0.196575342465753,0.0152739726027397
"38","R.pomeroyi",50,"R2",1.57e-14,4.08e-15,1.53e+09,3.14e-07,2.14e-07,4.9e-08,8.06e-07,2.45e-07,2.66e-07,1.03e-08,0.156050955,2.566878981,0.780254777,0.847133758,0.032802548,2.05e-16,1.4e-16,3.2e-20,5.27e-19,1.6e-19,1.74e-19,6.73e-21,2.03988177,33.55397361,10.19940885,11.07364389,0.428791474,76.5853658536585,19.9024390243902,0.682926829268293,0.0130573248407643,0.259872611464968,0.0089171974522293
"39","R.pomeroyi",50,"R3",1.53e-14,3.69e-15,1.5e+09,3.86e-07,2.34e-07,5.53e-08,7.84e-07,9.98e-08,3.19e-07,1.13e-08,0.143264249,2.031088083,0.258549223,0.82642487,0.029274611,2.57e-16,1.56e-16,3.69e-20,5.23e-19,6.65e-20,2.13e-19,7.53e-21,2.409586057,34.16122004,4.348583878,13.89978214,0.492374728,59.5330739299611,14.3579766536965,0.607003891050584,0.016797385620915,0.241176470588235,0.0101960784313725
